candidate_id,rank,score,reasoning
CAND_0002426,14,0.46303666666666665,Strongest match for the JD with 3.3 years of relevant work; their Deep Learning and Django profile and skill evidence are best-in-class. Keep in mind falling short of the experience requirement (3.3 vs 5 years) before proceeding.
CAND_0002526,15,0.4599500000000001,Exceptional candidate bringing 5.4 years of experience and deep expertise in Computer Vision and Semantic Search. Highly recommended due to standout market demand.
CAND_0002935,16,0.459805,Exceptional candidate bringing 8.8 years of experience and deep expertise in Hugging Face Transformers and Node.js. Highly recommended due to standout skill evidence. Keep in mind a lengthy notice period (150 days) before proceeding.
CAND_0002209,17,0.45906666666666673,Strongest match for the JD with 12.2 years of relevant work; their Agile and Node.js profile and skill evidence are best-in-class.
CAND_0002607,18,0.45756833333333335,Exceptional candidate bringing 9.8 years of experience and deep expertise in Java and Next.js. Highly recommended due to standout skill evidence.
CAND_0002604,19,0.45638,Exceptional candidate bringing 6.8 years of experience and deep expertise in ASR and Weights & Biases. Highly recommended due to standout skill evidence. Note: there is some concern regarding a lengthy notice period (90 days).
CAND_0002222,20,0.45400000000000007,A top-tier fit with a very strong market demand score. Demonstrates solid background in Photoshop and Marketing across 5.0 years in the industry. Note: there is some concern regarding a lengthy notice period (90 days).
CAND_0002867,21,0.45361666666666667,Good match overall; brings 9.9 years to the table and verifiable skills in Rust and Time Series. Shows strong skill evidence.
CAND_0002785,22,0.4518500000000001,Competent candidate whose 9.0 years of experience and GANs and Project Management background align well with the core requirements. Note: there is some concern regarding a lengthy notice period (120 days).
CAND_0002994,23,0.4515,Good match overall; brings 5.6 years to the table and verifiable skills in MongoDB and Hadoop. Shows strong skill evidence. Keep in mind a lengthy notice period (90 days) before proceeding.
CAND_0002925,24,0.45061833333333334,"Good match overall; brings 4.3 years to the table and verifiable skills in React and MongoDB. Shows strong skill evidence. However, we noted falling short of the experience requirement (4.3 vs 5 years) as a potential gap."
CAND_0002316,25,0.45038333333333336,Solid background in MongoDB and Flask with 14.6 years of experience. Selected primarily for robust skill evidence.
CAND_0002559,26,0.45021333333333335,Competent candidate whose 7.9 years of experience and Statistical Modeling and Haystack background align well with the core requirements.
CAND_0002665,27,0.45014,Competent candidate whose 6.5 years of experience and Statistical Modeling and QLoRA background align well with the core requirements. Keep in mind a lengthy notice period (90 days) before proceeding.
CAND_0002303,28,0.4492166666666667,Competent candidate whose 14.7 years of experience and Terraform and Vue.js background align well with the core requirements.
CAND_0002366,29,0.4491666666666667,Solid background in Next.js and Terraform with 13.9 years of experience. Selected primarily for robust skill evidence.
CAND_0002272,30,0.44890833333333335,Solid background in Salesforce CRM and CNN with 6.2 years of experience. Selected primarily for robust skill evidence.
CAND_0002722,31,0.44710250000000007,Good match overall; brings 4.9 years to the table and verifiable skills in Accounting and Apache Flink. Shows strong skill evidence. Keep in mind a lengthy notice period (90 days) before proceeding.
CAND_0002594,32,0.44623333333333337,Competent candidate whose 12.1 years of experience and Scrum and Node.js background align well with the core requirements.
CAND_0002285,33,0.44618083333333336,Competent candidate whose 6.5 years of experience and Spark and gRPC background align well with the core requirements.
CAND_0002593,34,0.446095,Competent candidate whose 9.8 years of experience and Project Management and Qdrant background align well with the core requirements. Note: there is some concern regarding a lengthy notice period (90 days).
CAND_0002564,35,0.44581666666666675,Solid background in CNN and Agile with 6.1 years of experience. Selected primarily for robust skill evidence.
CAND_0002598,36,0.4438850000000001,"Solid background in BigQuery and Go with 13.7 years of experience. Selected primarily for robust skill evidence. However, we noted a lengthy notice period (150 days) as a potential gap."
CAND_0002352,37,0.4435416666666667,Solid background in Time Series and Six Sigma with 10.7 years of experience. Selected primarily for robust skill evidence.
CAND_0002793,38,0.44294083333333334,Competent candidate whose 5.5 years of experience and Learning to Rank and Diffusion Models background align well with the core requirements.
CAND_0002708,39,0.44207,"Good match overall; brings 3.9 years to the table and verifiable skills in Time Series and Vector Search. Shows strong market demand. However, we noted a lengthy notice period (90 days) as a potential gap."
CAND_0002413,40,0.441925,Good match overall; brings 8.6 years to the table and verifiable skills in PowerPoint and SAP. Shows strong skill evidence. Note: there is some concern regarding a lengthy notice period (90 days).
CAND_0002315,41,0.439975,Solid background in Vue.js and SAP with 8.6 years of experience. Selected primarily for robust skill evidence. Note: there is some concern regarding a lengthy notice period (90 days).
CAND_0002556,42,0.438995,Competent candidate whose 8.5 years of experience and Django and Angular background align well with the core requirements. Note: there is some concern regarding a lengthy notice period (120 days).
CAND_0002995,43,0.4389291666666667,Solid background in JavaScript and Accounting with 7.9 years of experience. Selected primarily for robust skill evidence.
CAND_0002570,44,0.43888666666666676,Solid background in CNN and Docker with 7.2 years of experience. Selected primarily for robust skill evidence.
CAND_0002825,45,0.43825000000000003,"Good match overall; brings 13.7 years to the table and verifiable skills in HTML and PostgreSQL. Shows strong skill evidence. However, we noted a lengthy notice period (150 days) as a potential gap."
CAND_0002403,46,0.43804250000000006,Good match overall; brings 4.4 years to the table and verifiable skills in dbt and Redis. Shows strong skill evidence. Note: there is some concern regarding a lengthy notice period (120 days).
CAND_0002638,47,0.4370666666666667,Competent candidate whose 13.3 years of experience and Sales and Six Sigma background align well with the core requirements.
CAND_0002220,48,0.43625,Good match overall; brings 5.8 years to the table and verifiable skills in CSS and Databricks. Shows strong skill evidence. Keep in mind a lengthy notice period (120 days) before proceeding.
CAND_0002427,49,0.4356,Good match overall; brings 8.6 years to the table and verifiable skills in Agile and Vue.js. Shows strong skill evidence. Keep in mind a lengthy notice period (90 days) before proceeding.
CAND_0002270,50,0.43557200000000007,Good match overall; brings 3.4 years to the table and verifiable skills in Semantic Search and LlamaIndex. Shows strong skill evidence. Note: there is some concern regarding a lengthy notice period (90 days).
CAND_0002256,51,0.43490000000000006,"Competent candidate whose 6.0 years of experience and Apache Beam and dbt background align well with the core requirements. However, we noted a lengthy notice period (90 days) as a potential gap."
CAND_0002760,52,0.4348416666666667,Solid background in Object Detection and Redux with 5.3 years of experience. Selected primarily for robust skill evidence.
CAND_0002973,53,0.4348116666666667,Good match overall; brings 8.1 years to the table and verifiable skills in Project Management and Accounting. Shows strong skill evidence. Keep in mind historically low response rates despite being 'open to work' before proceeding.
CAND_0002525,54,0.4340166666666667,Competent candidate whose 7.7 years of experience and GraphQL and Airflow background align well with the core requirements.
CAND_0002306,55,0.4334950000000001,"Good match overall; brings 8.9 years to the table and verifiable skills in Go and Image Classification. Shows strong skill evidence. However, we noted a lengthy notice period (90 days) as a potential gap."
CAND_0002671,56,0.43272333333333335,Good match overall; brings 13.6 years to the table and verifiable skills in Tailwind and Diffusion Models. Shows strong skill evidence.
CAND_0002618,57,0.432565,Competent candidate whose 13.0 years of experience and Redux and BentoML background align well with the core requirements. Note: there is some concern regarding a lengthy notice period (150 days).
CAND_0002254,58,0.43255166666666667,Competent candidate whose 4.8 years of experience and Content Writing and Fine-tuning LLMs background align well with the core requirements. Note: there is some concern regarding falling short of the experience requirement (4.8 vs 5 years).
CAND_0002578,59,0.432335,Good match overall; brings 6.4 years to the table and verifiable skills in FastAPI and BentoML. Shows strong skill evidence. Keep in mind a lengthy notice period (90 days) before proceeding.
CAND_0002579,60,0.43156666666666665,Good match overall; brings 6.1 years to the table and verifiable skills in Deep Learning and Snowflake. Shows strong market demand.
CAND_0002861,61,0.4312666666666667,Good match overall; brings 14.6 years to the table and verifiable skills in REST APIs and gRPC. Shows strong skill evidence. Note: there is some concern regarding historically low response rates despite being 'open to work'.
CAND_0002512,62,0.42963000000000007,Competent candidate whose 9.9 years of experience and Next.js and Apache Beam background align well with the core requirements. Note: there is some concern regarding a lengthy notice period (120 days).
CAND_0002857,63,0.4296,Competent candidate whose 5.8 years of experience and PostgreSQL and Hugging Face Transformers background align well with the core requirements. Keep in mind a lengthy notice period (150 days) before proceeding.
CAND_0002731,64,0.42956666666666665,Competent candidate whose 14.2 years of experience and Kafka and Tally background align well with the core requirements.
CAND_0002778,65,0.42874999999999996,Solid background in GraphQL and LLMs with 5.9 years of experience. Selected primarily for robust market demand. Note: there is some concern regarding a lengthy notice period (90 days).
CAND_0002462,66,0.4283,"Solid background in Flask and Spark with 6.3 years of experience. Selected primarily for robust skill evidence. However, we noted a lengthy notice period (120 days) as a potential gap."
CAND_0002885,67,0.42779,Good match overall; brings 3.9 years to the table and verifiable skills in Speech Recognition and Webpack. Shows strong skill evidence. Note: there is some concern regarding a lengthy notice period (120 days).
CAND_0002702,68,0.42774999999999996,Competent candidate whose 9.8 years of experience and SEO and Agile background align well with the core requirements. Note: there is some concern regarding a lengthy notice period (150 days).
CAND_0002780,69,0.42765,Solid background in Java and Kafka with 8.4 years of experience. Selected primarily for robust skill evidence. Keep in mind a lengthy notice period (90 days) before proceeding.
CAND_0002574,70,0.42682333333333333,Good match overall; brings 6.4 years to the table and verifiable skills in Go and Tailwind. Shows strong skill evidence.
CAND_0002246,71,0.42594999999999994,"Adjacent skills only (e.g., LangChain and GCP); likely below the ideal cutoff but included due to their 8.2 years of experience. However, we noted a lengthy notice period (90 days) as a potential gap."
CAND_0002340,72,0.42574999999999996,"Included as a final filler due to decent market demand, though they only offer 8.9 years of experience in Airflow and Node.js. Keep in mind a lengthy notice period (150 days) before proceeding."
CAND_0002292,73,0.4252450000000001,"Included as a final filler due to decent skill evidence, though they only offer 4.6 years of experience in Snowflake and Salesforce CRM. However, we noted a lengthy notice period (150 days) as a potential gap."
CAND_0002507,74,0.42405000000000004,"Included as a final filler due to decent career evidence, though they only offer 14.5 years of experience in Excel and Figma. Keep in mind a lengthy notice period (90 days) before proceeding."
CAND_0002509,75,0.4240166666666667,Marginal fit primarily surfaced by their skill evidence. They possess 3.6 years of experience with Tailwind and BigQuery. Note: there is some concern regarding falling short of the experience requirement (3.6 vs 5 years).
CAND_0002670,76,0.4239666666666667,"Included as a final filler due to decent skill evidence, though they only offer 14.6 years of experience in MongoDB and Excel."
CAND_0002704,77,0.42384166666666667,"Adjacent skills only (e.g., Qdrant and Information Retrieval); likely below the ideal cutoff but included due to their 7.8 years of experience."
CAND_0002662,78,0.42261666666666675,"Adjacent skills only (e.g., Project Management and Tailwind); likely below the ideal cutoff but included due to their 5.4 years of experience."
CAND_0002991,79,0.42233333333333334,"Adjacent skills only (e.g., BigQuery and Apache Flink); likely below the ideal cutoff but included due to their 8.8 years of experience."
CAND_0002788,80,0.4223,"Included as a final filler due to decent skill evidence, though they only offer 12.9 years of experience in MongoDB and Figma. Note: there is some concern regarding a lengthy notice period (90 days)."
CAND_0002257,81,0.42219833333333334,"Adjacent skills only (e.g., SQL and Tailwind); likely below the ideal cutoff but included due to their 10.1 years of experience."
CAND_0002537,82,0.42219000000000007,"Marginal fit primarily surfaced by their skill evidence. They possess 8.5 years of experience with CNN and Marketing. However, we noted a lengthy notice period (120 days) as a potential gap."
CAND_0002354,83,0.42205000000000004,"Included as a final filler due to decent skill evidence, though they only offer 8.7 years of experience in ETL and CI/CD. However, we noted a lengthy notice period (90 days) as a potential gap."
CAND_0002439,84,0.42168000000000005,"Adjacent skills only (e.g., Airflow and Java); likely below the ideal cutoff but included due to their 6.0 years of experience. However, we noted a lengthy notice period (120 days) as a potential gap."
CAND_0002664,85,0.421635,"Included as a final filler due to decent skill evidence, though they only offer 6.2 years of experience in Go and AWS. However, we noted a lengthy notice period (90 days) as a potential gap."
CAND_0002801,86,0.42136666666666667,Marginal fit primarily surfaced by their skill evidence. They possess 10.9 years of experience with BigQuery and JavaScript. Keep in mind historically low response rates despite being 'open to work' before proceeding.
CAND_0002656,87,0.4213,"Included as a final filler due to decent skill evidence, though they only offer 8.7 years of experience in Agile and Content Writing. However, we noted a lengthy notice period (150 days) as a potential gap."
CAND_0002730,88,0.4210666666666667,Marginal fit primarily surfaced by their skill evidence. They possess 14.7 years of experience with Redis and FastAPI.
CAND_0002907,89,0.42080000000000006,"Included as a final filler due to decent skill evidence, though they only offer 14.9 years of experience in FastAPI and SEO. Note: there is some concern regarding a lengthy notice period (150 days)."
CAND_0002820,90,0.4206566666666667,"Included as a final filler due to decent skill evidence, though they only offer 8.9 years of experience in YOLO and Agile."
CAND_0002710,91,0.4206500000000001,"Marginal fit primarily surfaced by their skill evidence. They possess 9.8 years of experience with HTML and dbt. However, we noted a lengthy notice period (150 days) as a potential gap."
CAND_0002336,92,0.4205833333333334,Marginal fit primarily surfaced by their skill evidence. They possess 8.7 years of experience with CSS and Microservices.
CAND_0002414,93,0.42051666666666665,"Included as a final filler due to decent skill evidence, though they only offer 5.4 years of experience in Go and Six Sigma."
CAND_0002761,94,0.4202166666666667,Marginal fit primarily surfaced by their career evidence. They possess 10.4 years of experience with Redux and Databricks. Keep in mind historically low response rates despite being 'open to work' before proceeding.
CAND_0002219,95,0.4199866666666666,Marginal fit primarily surfaced by their skill evidence. They possess 5.9 years of experience with JavaScript and Next.js.
CAND_0002376,96,0.4198333333333334,"Adjacent skills only (e.g., Rust and FastAPI); likely below the ideal cutoff but included due to their 6.1 years of experience."
CAND_0002789,97,0.4196333333333333,Marginal fit primarily surfaced by their skill evidence. They possess 6.5 years of experience with Redux and Angular.
CAND_0002929,98,0.4191166666666667,"Included as a final filler due to decent skill evidence, though they only offer 13.0 years of experience in dbt and Agile."
CAND_0002715,99,0.41861666666666675,"Adjacent skills only (e.g., SQL and Docker); likely below the ideal cutoff but included due to their 14.7 years of experience."
CAND_0002942,100,0.41801,"Included as a final filler due to decent skill evidence, though they only offer 11.3 years of experience in Docker and Redis. However, we noted a lengthy notice period (150 days) as a potential gap."
